"Tree/taxonomy name","MDD matched name","Common name from MDD","Family from MDD","Treatment note"
"Canis anthus","Canis lupaster","African Golden Wolf","CANIDAE","MDD v2.0 accepts Canis_lupaster; taxonomy notes indicate anthus is not the preferred epithet and may represent a nomen dubium."
"Herpestes edwardsii","Urva edwardsii","Indian Gray Mongoose","HERPESTIDAE","MDD v2.0 accepts Urva_edwardsii; MSW3_sciName links this species to the Herpestes-era name."
"Lutra maculicollis","Hydrictis maculicollis","Spotted-necked Otter","MUSTELIDAE","MDD v2.0 accepts Hydrictis_maculicollis; originalNameCombination is Lutra maculicollis."
"Nasuella meridensis","Nasua olivacea","Mountain Coati","PROCYONIDAE","MDD v2.0 treats meridensis as a nominal name under Nasua_olivacea."
"Otaria bryonia","Otaria flavescens","South American Sea Lion","OTARIIDAE","MDD v2.0 accepts Otaria_flavescens; nominalNames include byronia/byronii and iucnStatus notes use as Otaria byronia."
"Pseudalopex culpaeus","Lycalopex culpaeus","Culpeo","CANIDAE","MDD v2.0 accepts Lycalopex_culpaeus; tree/taxonomy retains the older Pseudalopex combination."
"Pseudalopex fulvipes","Lycalopex fulvipes","Darwin's Fox","CANIDAE","MDD v2.0 accepts Lycalopex_fulvipes; tree/taxonomy retains the older Pseudalopex combination."
"Pseudalopex griseus","Lycalopex grisea","South American Gray Fox","CANIDAE","MDD v2.0 accepts Lycalopex_griseus; tree/taxonomy retains the older Pseudalopex combination."
"Pseudalopex gymnocercus","Lycalopex gymnocerca","Pampas Fox","CANIDAE","MDD v2.0 accepts Lycalopex_gymnocerca; tree/taxonomy retains the older Pseudalopex combination."
"Pseudalopex sechurae","Lycalopex sechurae","Sechuran Fox","CANIDAE","MDD v2.0 accepts Lycalopex_sechurae; tree/taxonomy retains the older Pseudalopex combination."
"Pseudalopex vetulus","Lycalopex vetula","Hoary Fox","CANIDAE","MDD v2.0 accepts Lycalopex_vetula; tree/taxonomy retains the older Pseudalopex combination."
"Salanoia durrelli","Salanoia concolor","Brown-tailed Vontsira","EUPLERIDAE","MDD v2.0 treats durrelli as a nominal name under Salanoia_concolor."
